port,country,landings_metrictons,latitude,longitude,demersal_perc,pelagic_perc,shellfish_perc
Kyongnam,"Korea, Republic of (S)",268499,35.2091146,128.1126317,,,
Karachi,Pakistan,261788,24.8546842,67.0207055,0.47,0.88,0.12
Shanwei City,"China, PR",260000,23.0123639,115.5099937,0.37,0.36,0.23
Samerang,Indonesia,251536,-6.93,110.41,0.27,0.37,0.14
San Vicente,Chile,250877,6.2826869,-75.3317647,0.13,0.81,0.06
Laayoun,Morocco,248238,27.102444,-13.44,0.02,0,0
Nova Scotia,Canada,235751,45.1960403,-63.1653789,0.21,0.21,0.58
Vestmannaeyjar,Iceland,234117,63.4266646,-20.26988158,0.16,0.84,0
Thyboran,Denmark,234035,56.712056,8.217,0.06,0.94,0
Manado,Indonesia,230523,1.480028,124.832,0.27,0.92,0.14
Choshi,Japan,229680,35.7345338,140.8272667,,,
Zhoushan City,"China, PR",227585,32.9740677,119.5122734,0.34,0.33,0.32
Kendari,Indonesia,227356,-3.9918068,122.5180066,0.27,0.51,0.14
"Empire-Venice, LA",USA,226980,14.5340683,121.0509818,,,
Makassar,Indonesia,218819,-5.1342962,119.4124282,0.27,0.46,0.14
Neskaupstadur,Iceland,213445,65.1487219,-13.6888688,0.05,0.95,0
Aysen,Chile,211450,-46.1434629,-74.21278863,0,0.99,0
British Columbia,Canada,209541,49.29,-123.2,0.47,0.11,0.42
"Aleutian Islands, AK",USA,206659,54.72093505,-164.0408092,,,
Victoria,Seychelles,204593,-36.5986096,144.6780052,0.01,0.99,0
Newfoundland,Canada,198525,49.12119115,-56.64032459,0.13,0.3,0.58
Pago Pago,American Samoa,197574,-14.2754786,-170.7048298,0,1,0
Fuzhou City,"China, PR",197373,26.0774954,119.2918215,0.34,0.41,0.24
Chungnam,"Korea, Republic of (S)",197141,36.6593,126.6729,0,0,0
Tambode Mora,Peru,197027,-13.462278,-76.204,0,0.99,0.01
Padang,Indonesia,196511,-0.9247587,100.3632561,0.27,0.49,0.14
Majuro,Rep Marshall Islands,193248,7.0909924,171.3816354,0,1,0
Pangkal Pinang,Indonesia,192474,-2.1206733,106.1134604,0.27,0.35,0.14
Cisnes,Chile,189028,-44.401047,-73.60048628,0.01,0.99,0
Bandung,Indonesia,185825,-6.9215529,107.6110212,0.27,0.48,0.14
Yaidu,Japan,184380,34.848889,138.356,,,
Vagsoy,Norway,183679,61.9792485,5.09604154,0.14,0.72,0
Lagos,Nigeria,180239,6.4550575,3.3941795,0.85,0.12,0.03
Jakarta,Indonesia,180198,-6.1754049,106.827168,0.27,0.66,0.14
Wenzhou City,"China, PR",178382,24.14549,117.660807,0.34,0.33,0.32
"Kodiak, AK",USA,178264,57.7901661,-152.4067073,,,
"Reedville, VA",USA,176449,37.8420743,-76.2757772,,,
Honiara,Solomon Islands,164899,-9.4310769,159.9552552,0,1,0
Yantai City,"China, PR",164579,37.461928,121.4425255,0.3,0.39,0.26
Shantou City,"China, PR",163000,23.3563921,116.6775856,0.37,0.36,0.23
Maoming City,"China, PR",162000,21.6656961,110.9209511,0.37,0.36,0.23
Tanjung Pinang,Indonesia,157506,0.9236915,104.446094,0.27,0.41,0.14
"Intracostal City, LA",USA,156355,29.87583345,-92.12879458,0,0,0
Pohnpei,FSM,155000,6.88704675,158.2406138,0,1,0
Lampung,Indonesia,154484,-4.8555039,105.0272986,0.27,0.37,0.14
Xiamen City,"China, PR",152184,24.4801069,118.0853479,0.34,0.41,0.24
Sofifi,Indonesia,150232,0.734776,127.5760518,0.27,0.87,0.14
Abidjan,Ivory Coast,150000,5.320357,-4.016107,0,0,0
Ilo,Peru,146652,-17.5833671,-71.2358866,0.01,0.93,0.07
Peterhead,UK,146507,57.5052909,-1.7813194,0.28,0.7,0.02
Palu,Indonesia,145784,-0.9051548,119.8722373,0.27,0.65,0.14
Aceh,Indonesia,143681,4.3685491,97.0253024,0.27,0.62,0.14
Mataram,Indonesia,140170,-8.5837726,116.10685,0.27,0.45,0.14
Hanstholm,Denmark,135930,57.1150165,8.6144947,0.23,0.77,0.01
Wenzhou City,"China, PR",135038,24.14549,117.660807,0.34,0.33,0.32
